,건축물명,면적,정제도로명주소,정제지번주소,정제WGS84위도,정제WGS84경도
499,수원시음식물자원화시설-사무실,399.73,경기도 수원시 권선구 매송고색로804번길 432,경기도 수원시 권선구 고색동 557 외 2필지,37.2348788548,126.9870237463
500,수원시음식물자원화시설-원수저류조  수처리시설(14동),158.12,경기도 수원시 권선구 매송고색로804번길 432,경기도 수원시 권선구 고색동 557 외 2필지,37.2348788548,126.9870237463
501,수원시음식물자원화시설-처리장  사무실,671.87,경기도 수원시 권선구 매송고색로804번길 432,경기도 수원시 권선구 고색동 557 외 2필지,37.2348788548,126.9870237463
502,환경사업소위생처리장 - 발효실,640.9,경기도 수원시 권선구 매송고색로804번길 432,경기도 수원시 권선구 고색동 557 외 2필지,37.2348788548,126.9870237463
503,델타플렉스 3단지 방류펌프장,124.36,,경기도 수원시 권선구 고색동 783-2,37.2347147673,126.984648644
504,도로교통관리사업소청사,2746,경기도 수원시 권선구 서부로 1600,경기도 수원시 권선구 고색동 886-70,37.252382664,126.9764294759
505,체육시설(서수원체육공원),261.12,경기도 수원시 권선구 매송고색로 594,경기도 수원시 권선구 고색동 904-14,37.2473966558,126.9700594991
506,서수원주민편의시설,5829.39,경기도 수원시 권선구 매송고색로 620,경기도 수원시 권선구 고색동 905-19,37.2477428437,126.9728985098
507,고색뉴지엄,1810.71,경기도 수원시 권선구 산업로 85,경기도 수원시 권선구 고색동 979,37.2399958447,126.9740235272
508,수원환경사업소 운동시설(골프연습장) 3층,628.17,,경기도 화성시 송산동 5-15-1번지외 297필지,,
509,수원환경사업소 급수동(1처리장 종침4계열뒤 지하1층),258.75,,경기도 화성시 송산동 5-15-1외 297필지,,
510,권선화장실,58.32,,경기도 수원시 권선구 곡반정동 1310,,
511,고렴화장실(고렴공원),39.7,,경기도 수원시 권선구 곡반정동 42,,
512,안용경로당,195.75,경기도 수원시 권선구 동수원로146번길 16-10,경기도 수원시 권선구 곡반정동 523,37.2434040874,127.0322572729
513,곡반정동 제1공영주차장,3912.78,경기도 수원시 권선구 동수원로146번길 182-10,경기도 수원시 권선구 곡반정동 524,37.2432255928,127.0327093717
514,곡선동 행정복지센터,2078,경기도 수원시 권선구 동수원로146번길 174,경기도 수원시 권선구 곡반정동 525,37.2433271896,127.0333288642
515,고렴공원 화장실,121.36,경기도 수원시 권선구 동수원로 114,경기도 수원시 권선구 곡반정동 546,37.2406337249,127.0292077276
516,곡반정경로당,326.64,경기도 수원시 권선구 곡반정로19번길 47,경기도 수원시 권선구 곡반정동 591-7,37.234046038,127.0250774915
517,홍재복지타운,7237.39,경기도 수원시 권선구 곡반정로194번길 19,경기도 수원시 권선구 곡반정동 91-7,37.2445060675,127.0374257254
518,서수원체육관,981.19,,경기도 수원시 권선구 구운동 501,37.278754799,126.9758407765
519,실내배드민턴장(구운공원),985.19,,경기도 수원시 권선구 구운동 501,37.278754799,126.9758407765
520,수원시권선구노인회지회,470.29,,경기도 수원시 권선구 구운동 501,37.278754799,126.9758407765
521,서호노인복지회관,3772.78,,경기도 수원시 권선구 구운동 501-1,,
522,군들경로당,262.6,경기도 수원시 권선구 구운로45번길 8-32,경기도 수원시 권선구 구운동 962-10,37.2775537989,126.9713032715
523,실내배드민턴장(올림픽공원),780,,경기도 수원시 권선구 권선동 1012,37.260741241,127.0262857825
524,올림피아화장실,57.4,,경기도 수원시 권선구 권선동 1012,37.260741241,127.0262857825
525,수원남부소방서119구조대,460.9,경기도 수원시 권선구 권선로 669,경기도 수원시 권선구 권선동 1019-11,37.2600051642,127.024801777
526,권선1동 행정복지센터,1984,경기도 수원시 권선구 경수대로352번길 29,경기도 수원시 권선구 권선동 1034-5,37.2577418593,127.0246017311
