,학교명,학교급구분,소재지지번주소,소재지도로명주소,위도,경도
438,용인신촌초등학교,초등학교,경기도 용인시 수지구 죽전동 1299,경기도 용인시 수지구 죽전로27번길 14-19,37.32314253,127.1136656
439,원동초등학교,초등학교,경기도 오산시 원동 805,경기도 오산시 오산로 92,37.13552905,127.069722
440,효천초등학교,초등학교,경기도 수원시 장안구 정자동 923,경기도 수원시 장안구 천천로21번길 11,37.2934661,126.9869171
441,백봉초등학교,초등학교,경기도 용인시 처인구 백암면 백봉리 202,경기도 용인시 처인구 백암면 죽양대로748번길 12,37.13797647,127.399982
442,화홍중학교,중학교,경기도 수원시 권선구 권선동 1316,경기도 수원시 권선구 덕영대로1323번길 25-11,37.24728058,127.0347228
443,흥덕고등학교,고등학교,경기도 용인시 기흥구 영덕동 1020,경기도 용인시 기흥구 흥덕2로 36,37.27075758,127.0744587
444,황곡초등학교,초등학교,경기도 수원시 영통구 영통동 948-3,경기도 수원시 영통구 영통로 518,37.2655424,127.0782969
445,풍덕고등학교,고등학교,경기도 용인시 수지구 풍덕천동 1121,경기도 용인시 수지구 정평로13번길 5,37.31702384,127.0892193
446,오산고현초등학교,초등학교,경기도 오산시 고현동 92,경기도 오산시 남부대로 459,37.133445,127.0851451
447,운학초등학교,초등학교,경기도 용인시 처인구 운학동 220-1,경기도 용인시 처인구 동부로465번길 7,37.20278722,127.2466709
448,백암초등학교수정분교장,초등학교,경기도 용인시 처인구 백암면 가창리 514-3,경기도 용인시 처인구 백암면 청강가창로105번길 55-12,37.18619793,127.360458
449,대지중학교,중학교,경기도 용인시 수지구 죽전동 313-1,경기도 용인시 수지구 대지로51번길 22,37.33105561,127.116311
450,공세초등학교,초등학교,경기도 용인시 기흥구 공세동 693,경기도 용인시 기흥구 탑실로 86-10,37.23901832,127.1164888
451,용인중학교,중학교,경기도 용인시 처인구 김량장동 212,경기도 용인시 처인구 금학로341번길 8,37.23861861,127.2005664
452,용인한국외국어대학교부설고등학교,고등학교,경기도 용인시 처인구 모현읍 왕산리 266,경기도 용인시 처인구 모현읍 외대로54번길 50,37.33045822,127.2567039
453,용천중학교,중학교,경기도 용인시 처인구 이동읍 천리 1132,경기도 용인시 처인구 이동읍 백옥대로587번길 54,37.19144213,127.200828
454,수성고등학교,고등학교,경기도 수원시 장안구 정자동 49,경기도 수원시 장안구 장안로90번길 39,37.29361367,127.0026571
455,소화초등학교,초등학교,경기도 수원시 영통구 원천동 51-26,경기도 수원시 영통구 광교중앙로 30,37.27820749,127.0528005
456,발안초등학교,초등학교,경기도 화성시 향남읍 행정리 392-2,경기도 화성시 향남읍 발안로 8,37.13041863,126.9123884
457,구성중학교,중학교,경기도 용인시 기흥구 마북동 543,경기도 용인시 기흥구 연원로42번길 48,37.29999927,127.114422
458,고림중학교,중학교,경기도 용인시 처인구 고림동 750,경기도 용인시 처인구 고림로74번길 30,37.24047513,127.2184893
459,장평초등학교,초등학교,경기도 용인시 처인구 백암면 장평리 658,경기도 용인시 처인구 백암면 한택로 446,37.11907332,127.3776064
460,신리초등학교,초등학교,경기도 용인시 수지구 신봉동 882,경기도 용인시 수지구 신봉1로48번길 6,37.32235846,127.080823
461,안녕초등학교,초등학교,경기도 화성시 안녕동 50-8,경기도 화성시 화산로 2,37.20589222,127.0085343
462,매현중학교,중학교,경기도 수원시 영통구 매탄동 1284,경기도 수원시 영통구 동탄원천로881번길 20,37.25486284,127.042715
463,서연고등학교,고등학교,경기도 화성시 장지동 973,경기도 화성시 동탄대로4가길 6,37.160819,127.1114322
464,대선초등학교,초등학교,경기도 수원시 영통구 망포동 710,경기도 수원시 영통구 봉영로 1432-19,37.24194618,127.0646545
465,경기체육중학교,중학교,경기도 수원시 장안구 천천동 30-1,경기도 수원시 장안구 상률로 106,37.30395971,126.9785339
466,나루고등학교,고등학교,경기도 화성시 반송동 179,경기도 화성시 금반2길 13,37.18656401,127.0719398
467,수원금곡초등학교,초등학교,경기도 수원시 권선구 금곡동 1004,경기도 수원시 권선구 서수원로617번길 30,37.27970688,126.9526515
468,동백고등학교,고등학교,경기도 용인시 기흥구 동백동 601,경기도 용인시 기흥구 동백7로 61,37.28335075,127.1584727
469,화성동화중학교,중학교,경기도 화성시 봉담읍 동화리 631,경기도 화성시 봉담읍 동화역말길 12,37.213866,126.9623034
470,이솔고등학교,고등학교,경기도 화성시 동탄면 산척동 731,경기도 화성시 동탄순환대로7길 10,37.166508,127.111138
471,송산고등학교,고등학교,경기도 화성시 송산면 사강리 625,경기도 화성시 송산면 송산포도로 102-21,37.2164646,126.738237
472,서천중학교,중학교,경기도 용인시 기흥구 서천동 796,경기도 용인시 기흥구 서천동로 7,37.24001911,127.0758949
473,성복고등학교,고등학교,경기도 용인시 수지구 성복동 782,경기도 용인시 수지구 도마치로 92,37.32336344,127.061123
474,영동중학교,중학교,경기도 수원시 영통구 신동 332-2,경기도 수원시 영통구 영통로 225,37.24794335,127.0559865
475,고색중학교,중학교,경기도 수원시 권선구 고색동 888-92,경기도 수원시 권선구 매송고색로711번길 50,37.25360106,126.9813192
476,죽전중학교,중학교,경기도 용인시 수지구 죽전동 873-4,경기도 용인시 수지구 용구대로2771번길 15,37.33236479,127.1075744
477,우정초등학교,초등학교,경기도 화성시 우정읍 조암리 619,경기도 화성시 우정읍 버들로 136,37.08151771,126.8003518
478,광성초등학교,초등학교,경기도 오산시 세교동 623,경기도 오산시 수목원로 577-18,37.18414545,127.0397103
479,좌항초등학교,초등학교,경기도 용인시 처인구 원삼면 좌항리 126-4,경기도 용인시 처인구 원삼면 원양로 603,37.20182797,127.3203483
480,호매실초등학교,초등학교,경기도 수원시 권선구 호매실동 388-7,경기도 수원시 권선구 매실로 48,37.26731936,126.9563936
481,기흥초등학교,초등학교,경기도 용인시 기흥구 공세동 200-3,경기도 용인시 기흥구 공세로82번길 5,37.23191888,127.1098018
482,왕산초등학교,초등학교,경기도 용인시 처인구 모현읍 왕산리 808-2,경기도 용인시 처인구 모현읍 백옥대로 2366번길 7-8,37.33532653,127.2506285
483,태장초등학교,초등학교,경기도 수원시 영통구 망포동 371,경기도 수원시 영통구 태장로71번길 30,37.24087205,127.0546251
484,곡선초등학교,초등학교,경기도 수원시 권선구 권선동 1199,경기도 수원시 권선구 덕영대로1217번길 36,37.25076143,127.0253992
485,보라초등학교,초등학교,경기도 용인시 기흥구 상갈동 51-1,경기도 용인시 기흥구 금화로105번길 33,37.2639581,127.107222
486,청명고등학교,고등학교,경기도 수원시 영통구 영통동 956-1,경기도 수원시 영통구 영통로 466,37.26089042,127.0773249
487,서원초등학교,초등학교,경기도 용인시 수지구 상현동 826,경기도 용인시 수지구 상현로 45,37.30375053,127.078561
488,효원고등학교,고등학교,경기도 수원시 영통구 매탄동 1154,경기도 수원시 영통구 동수원로 336,37.25941827,127.0390512
489,율목초등학교,초등학교,경기도 화성시 반월동 879,경기도 화성시 영통로50번길 19,37.23705501,127.064349
490,청룡초등학교,초등학교,경기도 화성시 비봉면 청요리 571,경기도 화성시 비봉면 주석로 610,37.20084555,126.8886257
